session_key,meeting_key,date,driver_number,pit_duration,lap_number
9523,1236,2024-05-26T13:44:08.648000+00:00,16,2358.0,1
9523,1236,2024-05-26T13:44:10.929000+00:00,81,2357.6,1
9523,1236,2024-05-26T13:44:15.005000+00:00,55,2327.0,1
9523,1236,2024-05-26T13:44:20.326000+00:00,4,2365.5,1
9523,1236,2024-05-26T13:44:26.200000+00:00,63,2369.3,1
9523,1236,2024-05-26T13:44:31.202000+00:00,1,2372.6,1
9523,1236,2024-05-26T13:44:36.048000+00:00,44,2375.3,1
9523,1236,2024-05-26T13:44:40.843000+00:00,22,2377.5,1
9523,1236,2024-05-26T13:44:47.191000+00:00,23,2381.3,1
9523,1236,2024-05-26T13:44:50.012000+00:00,10,2381.8,1
9523,1236,2024-05-26T13:44:55.032000+00:00,18,2383.5,1
9523,1236,2024-05-26T13:45:00.056000+00:00,3,2385.8,1
9523,1236,2024-05-26T13:45:05.469000+00:00,14,2389.4,1
9523,1236,2024-05-26T13:45:09.110000+00:00,2,2391.6,1
9523,1236,2024-05-26T13:45:13.910000+00:00,77,2394.0,1
9523,1236,2024-05-26T13:45:18.455000+00:00,24,2386.4,1
9523,1236,2024-05-26T14:05:22.140000+00:00,77,24.2,15
9523,1236,2024-05-26T14:41:30.599000+00:00,18,24.1,42
9523,1236,2024-05-26T14:49:56.313000+00:00,18,28.2,48
9523,1236,2024-05-26T14:52:35.455000+00:00,44,24.2,51
9523,1236,2024-05-26T14:53:50.854000+00:00,1,23.8,52
9523,1236,2024-05-26T15:02:08.732000+00:00,2,24.3,57
9523,1236,2024-05-26T15:19:29.604000+00:00,24,24.3,70
